date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced
2023-11-18,Voi Town,Voi Central,-3.3958,38.5569,High,3,1400,River overflow,8.5,5,True,False
2023-04-25,Wundanyi,Taita,-3.3833,38.3500,High,4,1800,Flash flood,12.0,4,True,False
2022-11-10,Mwatate,Mwatate,-3.5167,38.3667,Critical,5,2400,Landslide-flood,18.0,3,True,False
2022-05-05,Voi Town,Voi Central,-3.3958,38.5569,High,2,1200,River overflow,7.0,5,True,False
2021-11-15,Wundanyi,Taita,-3.3833,38.3500,High,3,1600,Flash flood,10.5,4,True,False
2021-04-22,Taveta,Taveta,-3.3833,37.6833,Medium,1,700,River overflow,4.0,7,False,False
2020-11-08,Mwatate,Mwatate,-3.5167,38.3667,High,4,2100,Landslide-flood,15.0,4,True,False
2019-05-10,Voi Town,Voi Central,-3.3958,38.5569,High,2,1300,River overflow,7.5,5,True,False
2018-11-12,Wundanyi,Taita,-3.3833,38.3500,Critical,6,2800,Flash flood,20.0,3,True,False
2017-04-25,Taveta,Taveta,-3.3833,37.6833,High,2,1100,River overflow,6.0,6,True,False
