policy_id,name,year_recommended,source,status,implementing_body,budget_allocated_ksh_m,budget_utilized_pct,blocking_factor,lives_saved_estimate,notes
P001,Nairobi Integrated Flood Risk Management Plan,2018,World Bank / NCC,Draft Only,Nairobi City County,0.0,0.0,Not gazetted — stalled at county assembly,240,Comprehensive plan covering all 85 wards. Drainage master plan component designed with World Bank support. County assembly has not adopted it. New governor's administration reviewing.
P002,Mathare River Riparian Enforcement,2015,NEMA / NCC,Not Enforced,Nairobi City County,85.0,11.0,Political resistance — enforcement requires demolition of 4000+ structures,320,30m riparian buffer consistently violated. Over 40000 people live within the buffer zone. NCC has issued enforcement orders annually since 2016. None executed. Pre-election cycle enforcement is impossible.
P003,Kibera Stormwater Drainage Upgrade,2019,UN-Habitat / NCC,Partially Implemented,Nairobi City County,380.0,34.0,Land tenure disputes blocking Phase 2 alignment,180,Phase 1 (main collectors) complete 2022. Phase 2 requires re-routing through disputed land. Secure tenure is prerequisite for infrastructure investment in informal settlements.
P004,Mukuru Special Planning Area Drainage,2020,NCC / UN-Habitat,Partially Implemented,Nairobi City County,520.0,28.0,Budget absorption and resettlement budget shortfall,210,Mukuru SPA gazette 2019 enabled investment. Drainage design complete. Implementation requires relocation of structures on drainage easements. Compensation budget is 40% of requirement.
P005,Mathare Valley Flood Early Warning,2017,NCC / Kenya Red Cross,Partially Implemented,Kenya Red Cross,42.0,78.0,Last-mile SMS penetration in Mathare informal settlement,95,Community alert system operational in Mathare 4A and 4B. Sections 1-3 not covered. Renter population not reached by alert chain anchored to structure owners.
P006,Korogocho Drainage and Flood Protection,2018,NCC / ASAL,Stalled,Nairobi City County,220.0,18.0,Contractor default and resettlement budget,110,Phase 1 procurement completed 2021. Contractor abandoned site 2022. Re-procurement delayed. Korogocho remains highest flood risk zone in Nairobi after Mathare.
P007,Nairobi River Rehabilitation,2012,NCC / NEMA / World Bank,Partially Implemented,Nairobi City County,680.0,41.0,Riparian encroachment and inter-agency coordination,290,18km of river cleaned and partially rehabilitated 2015-2020. Industrial effluent discharge from upper Nairobi River unresolved. Downstream communities bear full pollution and flood burden.
P008,Ward-Level MCAs Flood Accountability,2022,NCC / KDIC,Draft Only,Nairobi City County,0.0,0.0,Political will — accountability mechanism requires MCAs to report on constituents,150,Proposal to integrate flood incident reporting into MCA quarterly reports. Not adopted. Would create individual political accountability at ward level for 85 sitting MCAs.
P009,NCC Planning Approval Flood Risk Check,2019,NEMA / NCC,Not Enforced,Nairobi City County,15.0,22.0,NCC planning department not cross-referencing flood risk maps,200,Flood risk map published 2020. Planning approvals in flood zones documented annually. No mandatory cross-reference process established. Developers exploit gap.
P010,Ngong River Flood Retention Ponds,2016,NCC / WRMA,Stalled,Water Resources Authority,145.0,19.0,Land acquisition in Kibera and Lang'ata,120,Three retention pond sites identified. Two are on land with unresolved tenure. One site acquired but construction not commenced. Budget eroded by 7 years of inflation.
